"id","block","trial","left_stim","right_stim","chosen_stim","payout","choice","trial_type"
"1g0kwzt5fqv3p1zms87j2y2g",1,1,3,1,3,"0.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,2,3,-1,3,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,3,1,2,1,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,4,2,-1,2,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,5,-1,1,1,"0.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,6,3,-1,3,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,7,2,0,0,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,8,0,2,0,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,9,2,0,0,"0.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,10,-1,3,3,"1.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,11,-1,0,0,"0.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,12,2,3,3,"0.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,13,2,-1,2,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,14,2,3,2,"0.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,15,3,-1,3,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,16,0,-1,0,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,17,0,-1,0,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,18,2,0,0,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,19,0,3,3,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,20,-1,1,1,"0.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,21,0,1,0,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,22,3,1,3,"0.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,23,1,0,0,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,24,-1,1,1,"1.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,25,1,2,2,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,26,0,3,0,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,27,2,-1,2,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,28,2,3,3,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,29,1,2,2,"0.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,30,3,0,0,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,31,3,-1,3,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,32,2,1,2,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,33,2,-1,2,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,34,1,0,0,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,35,1,3,3,"0.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,36,-1,0,0,"0.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,37,-1,0,0,"1.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,38,1,-1,1,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,39,-1,0,0,"1.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,40,2,-1,2,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,41,3,0,0,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,42,1,3,1,"0.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,43,1,-1,1,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,44,-1,3,3,"1.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,45,1,0,0,"0.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",1,46,1,-1,1,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,47,2,-1,2,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",1,48,2,3,3,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,1,3,1,3,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,2,3,-1,3,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,3,1,2,2,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,4,2,-1,2,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,5,-1,1,1,"0.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,6,3,-1,3,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,7,2,0,0,"0.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,8,0,2,0,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,9,2,0,0,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,10,-1,3,3,"0.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,11,-1,0,0,"1.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,12,2,3,2,"0.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,13,2,-1,2,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,14,2,3,2,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,15,3,-1,3,"0.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,16,0,-1,0,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,17,0,-1,0,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,18,2,0,0,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,19,0,3,0,"0.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,20,-1,1,1,"0.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,21,0,1,1,"0.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,22,3,1,1,"0.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,23,1,0,1,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,24,-1,1,1,"0.0","right","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,25,1,2,2,"1.0","right","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,26,0,3,0,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,27,2,-1,2,"1.0","left","forced"
"1g0kwzt5fqv3p1zms87j2y2g",2,28,2,3,2,"1.0","left","free"
"1g0kwzt5fqv3p1zms87j2y2g",2,29,1,2,2,"0.0","right","free"
